Name,Distance,Distance_err,RA,Dec,SpectralType,Mass,Notes,OtherNames,Constellation,Source
GJ15A,11.64,0.0,0.3064,44.023,M1.5V,,,,,Isaacson et al.
GJ15B,11.64,0.0,0.3071,44.027,M3.5V,,,,,Isaacson et al.
HIP1499,76.32,0.0,0.3116,-8.053,G0V,,,,,Isaacson et al.
HIP1532,67.51,0.0,0.3182,-9.965,K7V,,,,,Isaacson et al.
HIP1599,28.02,0.0,0.3345,-64.875,F9V,,,,,Isaacson et al.
HIP1692,75.02,0.0,0.3537,-8.281,K2,,,,,Isaacson et al.
HIP1768,73.06,0.0,0.3732,-27.032,K1V,,,,,Isaacson et al.
HIP1803,66.21,0.0,0.3811,-12.209,G3V,,,,,Isaacson et al.
HIP1837,72.41,0.0,0.3878,-33.167,K3/K4V,,,,,Isaacson et al.
HIP1936,58.71,0.0,0.4072,-27.027,K2V,,,,,Isaacson et al.
HIP2072,76.65,0.0,0.4367,-43.680,A7V,,,,,Isaacson et al.
HIP2081,77.30,0.0,0.4381,-42.306,K0III..,,,,,Isaacson et al.
HIP2120,52.84,0.0,0.4480,70.142,M0,,,,,Isaacson et al.
HIP2422,128.51,0.0,0.5153,77.019,K0IV,,,,,Isaacson et al.
HIP2552,32.94,0.0,0.5415,67.236,M2.5Ve,,,,,Isaacson et al.
HIP2578,151.34,0.0,0.5455,-63.031,A0V,,,,,Isaacson et al.
HIP2711,83.50,0.0,0.5744,-52.373,F3IV-V,,,,,Isaacson et al.
HIP2762,68.49,0.0,0.5875,-3.593,F8V...,,,,,Isaacson et al.
HIP2852,162.10,0.0,0.6019,-22.842,A5m...,,,,,Isaacson et al.
HIP2941,50.55,0.0,0.6224,-24.767,K1V+...,,,,,Isaacson et al.
HIP3092,101.11,0.0,0.6555,30.861,K3III..,,,,,Isaacson et al.
HIP3093,36.20,0.0,0.6561,21.250,K0V,,,,,Isaacson et al.
HIP3170,82.84,0.0,0.6738,-59.454,G1V,,,,,Isaacson et al.
HIP3206,56.10,0.0,0.6804,40.187,K2V,,,,,Isaacson et al.
HIP3418,67.51,0.0,0.7258,33.844,K8,,,,,Isaacson et al.
HIP3419,95.56,0.0,0.7265,-17.986,K0III,,,,,Isaacson et al.
HIP3497,71.10,0.0,0.7442,-65.649,G3V,,,,,Isaacson et al.
HIP3505,90.67,0.0,0.7457,-22.006,F0V,,,,,Isaacson et al.
HIP3535,71.75,0.0,0.7514,1.785,K2V,,,,,Isaacson et al.
HIP3583,48.60,0.0,0.7627,-47.552,G5IV,,,,,Isaacson et al.
HIP3588,52.18,0.0,0.7634,-41.909,K5Vcom,,,,,Isaacson et al.
HIP3765,24.33,0.0,0.8064,5.281,K2V,,,,,Isaacson et al.
HIP3821,19.41,0.0,0.8184,57.815,G0VSB,,,,,Isaacson et al.
HIP3850,61.32,0.0,0.8241,-23.212,G8/K0V,,,,,Isaacson et al.
HIP3876,70.12,0.0,0.8296,70.449,K0,,,,,Isaacson et al.
HIP3909,50.23,0.0,0.8354,10.644,F7IV-V,,,,,Isaacson et al.
HIP3979,71.75,0.0,0.8530,-5.039,G0,,,,,Isaacson et al.
HIP3998,71.10,0.0,0.8561,18.739,K2,,,,,Isaacson et al.
HIP4022,49.25,0.0,0.8594,-22.910,K5V,,,,,Isaacson et al.
HIP4148,45.66,0.0,0.8836,-30.357,K2V,,,,,Isaacson et al.
HIP4151,60.34,0.0,0.8845,61.124,F8V,,,,,Isaacson et al.
HIP4288,126.87,0.0,0.9161,23.628,K1IV,,,,,Isaacson et al.
HIP4436,136.01,0.0,0.9459,38.499,A5V,,,,,Isaacson et al.
HIP4454,78.60,0.0,0.9512,69.043,K4V,,,,,Isaacson et al.
HIP4473,62.95,0.0,0.9555,-62.246,K7V,,,,,Isaacson et al.
HIP4569,42.73,0.0,0.9744,-27.857,---,,,,,Isaacson et al.
HIP4845,70.45,0.0,1.0392,10.424,K7V,,,,,Isaacson et al.
HIP4849,69.80,0.0,1.0402,5.061,K2,,,,,Isaacson et al.
HIP4856,26.55,0.0,1.0423,71.680,M3.5e,,,,,Isaacson et al.
HIP4872,32.62,0.0,1.0441,62.345,K5V...,,,,,Isaacson et al.
HIP4907,84.15,0.0,1.0492,69.227,G5,,,,,Isaacson et al.
HIP5027,83.50,0.0,1.0734,-25.605,K4/K5V,,,,,Isaacson et al.
HIP5110,86.43,0.0,1.0916,15.390,K2V,,,,,Isaacson et al.
HIP5247,48.92,0.0,1.1189,63.941,K7V,,,,,Isaacson et al.
HIP5286,67.51,0.0,1.1272,22.955,K4V,,,,,Isaacson et al.
HIP5310,161.12,0.0,1.1326,20.739,A3V,,,,,Isaacson et al.
HIP5336,24.62,0.0,1.1379,54.920,G5Vp,,,,,Isaacson et al.
HIP5346,117.09,0.0,1.1395,5.650,F0III-I,,,,,Isaacson et al.
HIP5364,117.42,0.0,1.1432,10.182,K2III,,,,,Isaacson et al.
HIP5369,90.35,0.0,1.1446,17.242,K6,,,,,Isaacson et al.
HIP5496,26.52,0.0,1.1730,-67.445,K,,,,,Isaacson et al.
HIP5521,87.08,0.0,1.1783,42.932,K0,,,,,Isaacson et al.
HIP5542,137.31,0.0,1.1851,55.150,A7Vvar,,,,,Isaacson et al.
GJ54.1,12.10,0.0,1.2085,-16.999,M4.0V,,,,,Isaacson et al.
HIP5663,71.75,0.0,1.2128,-25.236,K4V,,,,,Isaacson et al.
HIP5799,79.26,0.0,1.2400,-7.923,F5V,,,,,Isaacson et al.
HIP5842,68.82,0.0,1.2503,-68.819,K2V,,,,,Isaacson et al.
HIP5862,48.92,0.0,1.2531,-45.531,F8V,,,,,Isaacson et al.
HIP5896,66.54,0.0,1.2628,-68.876,F6IV,,,,,Isaacson et al.
HIP5938,86.43,0.0,1.2734,-12.097,K0V,,,,,Isaacson et al.
HIP5944,76.97,0.0,1.2748,42.939,G0,,,,,Isaacson et al.
HIP5957,74.04,0.0,1.2776,25.331,K5,,,,,Isaacson et al.
HIP6069,49.90,0.0,1.2981,5.474,M2V:,,,,,Isaacson et al.
HIP6290,61.64,0.0,1.3446,57.328,K6V:,,,,,Isaacson et al.
HIP6344,78.60,0.0,1.3586,80.152,K8,,,,,Isaacson et al.
HIP6351,54.79,0.0,1.3596,-41.656,K5,,,,,Isaacson et al.
HIP6379,54.79,0.0,1.3664,76.710,K0,,,,,Isaacson et al.
HIP6414,87.74,0.0,1.3731,-33.214,---,,,,,Isaacson et al.
HIP6537,114.48,0.0,1.4004,-8.183,K0III,,,,,Isaacson et al.
HIP6706,84.80,0.0,1.4376,19.172,F2V:var,,,,,Isaacson et al.
HIP6748,118.07,0.0,1.4477,-13.056,F0V,,,,,Isaacson et al.
HIP6813,92.30,0.0,1.4609,45.407,F5IV,,,,,Isaacson et al.
HIP6917,75.34,0.0,1.4847,21.723,K2V,,,,,Isaacson et al.
HIP7078,95.24,0.0,1.5205,70.264,F6V,,,,,Isaacson et al.
HIP7235,63.60,0.0,1.5544,-24.178,K0V,,,,,Isaacson et al.
HIP7339,68.17,0.0,1.5759,68.948,G6V,,,,,Isaacson et al.
HIP7387,131.77,0.0,1.5875,-58.139,F2V,,,,,Isaacson et al.
HIP7513,43.70,0.0,1.6133,41.405,F8V,,,,,Isaacson et al.
HIP7535,110.24,0.0,1.6183,12.141,F0V,,,,,Isaacson et al.
HIP7576,76.97,0.0,1.6265,-6.760,G5,,,,,Isaacson et al.
GJ65A,8.71,0.0,1.6504,-17.950,M5.5V,,,,,Isaacson et al.
HIP7734,69.47,0.0,1.6600,45.877,G5IV,,,,,Isaacson et al.
HIP7748,88.71,0.0,1.6627,73.709,---,,,,,Isaacson et al.
HIP7751,26.55,0.0,1.6632,-56.196,K0V,,,,,Isaacson et al.
HIP7918,41.10,0.0,1.6964,42.613,G2V,,,,,Isaacson et al.
HIP7978,56.42,0.0,1.7081,-53.741,F8V,,,,,Isaacson et al.
HIP7981,24.33,0.0,1.7083,20.268,K1V,,,,,Isaacson et al.
HIP8051,36.53,0.0,1.7223,4.322,M2V:,,,,,Isaacson et al.
HIP8070,43.70,0.0,1.7280,63.823,K5V,,,,,Isaacson et al.
GJ71,11.90,0.0,1.7345,-15.938,G8.5V,,,,,Isaacson et al.
HIP8209,89.37,0.0,1.7608,-25.053,F2IV,,,,,Isaacson et al.
HIP8275,75.02,0.0,1.7774,12.412,K5,,,,,Isaacson et al.
HIP8362,32.52,0.0,1.7958,63.852,K0V,,,,,Isaacson et al.
HIP8486,75.02,0.0,1.8232,10.703,G0,,,,,Isaacson et al.
HIP8497,76.97,0.0,1.8264,10.686,F3III,,,,,Isaacson et al.
HIP8543,87.08,0.0,1.8355,29.464,K1V,,,,,Isaacson et al.
HIP8768,35.88,0.0,1.8803,-22.435,K5/M0V,,,,,Isaacson et al.
HIP8867,72.08,0.0,1.9017,66.176,G5,,,,,Isaacson et al.
HIP8903,59.36,0.0,1.9107,20.808,A5V...,,,,,Isaacson et al.
HIP9007,56.75,0.0,1.9326,-51.609,G5IV,,,,,Isaacson et al.
HIP9044,64.25,0.0,1.9424,-60.226,K5V,,,,,Isaacson et al.
HIP9085,85.78,0.0,1.9500,-51.766,F8V,,,,,Isaacson et al.
HIP9094,110.57,0.0,1.9527,10.242,G5,,,,,Isaacson et al.
HIP9153,133.07,0.0,1.9655,23.596,F0V,,,,,Isaacson et al.
HIP9236,71.10,0.0,1.9795,-61.570,F0V,,,,,Isaacson et al.
HIP9269,79.91,0.0,1.9852,33.209,G5,,,,,Isaacson et al.
GJ83.1,14.48,0.0,2.0037,13.052,M4.0V,,,,,Isaacson et al.
HIP9480,116.76,0.0,2.0326,70.907,A3IV,,,,,Isaacson et al.
HIP9487,138.94,0.0,2.0341,2.764,A2,,,,,Isaacson et al.
HIP9598,162.10,0.0,2.0572,72.421,A2V,,,,,Isaacson et al.
HIP9716,83.17,0.0,2.0831,-15.678,K0V,,,,,Isaacson et al.
HIP9724,30.76,0.0,2.0847,-17.614,M3,,,,,Isaacson et al.
HIP9727,109.26,0.0,2.0854,77.281,F0Vn,,,,,Isaacson et al.
HIP9829,75.34,0.0,2.1084,24.334,G2V,,,,,Isaacson et al.
HIP9884,65.88,0.0,2.1196,23.462,K2III,,,,,Isaacson et al.
HIP10138,35.55,0.0,2.1739,-50.824,K0V,,,,,Isaacson et al.
HIP10279,33.59,0.0,2.2058,3.576,M3V:,,,,,Isaacson et al.
HIP10306,98.17,0.0,2.2134,21.211,F5V,,,,,Isaacson et al.
HIP10337,75.67,0.0,2.2201,-21.196,K7V,,,,,Isaacson et al.
HIP10395,40.12,0.0,2.2316,-32.041,---,,,,,Isaacson et al.
HIP10416,74.36,0.0,2.2371,-3.635,K2,,,,,Isaacson et al.
HIP10542,72.41,0.0,2.2628,-18.238,K3V,,,,,Isaacson et al.
HIP10617,46.31,0.0,2.2781,-30.988,---,,,,,Isaacson et al.
HIP10644,35.22,0.0,2.2842,34.224,G0V,,,,,Isaacson et al.
HIP10670,117.42,0.0,2.2886,33.847,A1Vnn,,,,,Isaacson et al.
HIP10723,81.21,0.0,2.3004,1.758,G0.5IV,,,,,Isaacson et al.
HIP10798,41.10,0.0,2.3162,-25.946,G8V,,,,,Isaacson et al.
HIP10812,45.34,0.0,2.3195,-36.778,---,,,,,Isaacson et al.
HIP10925,82.84,0.0,2.3453,-39.034,K3/K4V,,,,,Isaacson et al.
HIP11000,87.08,0.0,2.3623,-6.879,K0,,,,,Isaacson et al.
HIP11001,135.03,0.0,2.3625,-68.659,A3V,,,,,Isaacson et al.
HIP11029,97.19,0.0,2.3671,10.778,F0V,,,,,Isaacson et al.
HIP11048,38.81,0.0,2.3707,47.880,M2,,,,,Isaacson et al.
HIP11090,153.95,0.0,2.3806,41.396,F0III-I,,,,,Isaacson et al.
HIP11452,54.14,0.0,2.4628,4.432,K7V:,,,,,Isaacson et al.
HIP11477,152.64,0.0,2.4671,-33.811,A2/A3V,,,,,Isaacson et al.
HIP11565,61.64,0.0,2.4838,-19.979,K4V,,,,,Isaacson et al.
HIP11569,141.55,0.0,2.4844,67.402,A5pSr,,,,,Isaacson et al.
HIP11759,85.13,0.0,2.5285,-15.273,K2V,,,,,Isaacson et al.
HIP11783,84.15,0.0,2.5348,-15.244,F5V,,,,,Isaacson et al.
HIP11852,73.39,0.0,2.5497,-72.687,K4V,,,,,Isaacson et al.
HIP11964,37.51,0.0,2.5729,-43.796,K7Vcom,,,,,Isaacson et al.
HIP12097,45.34,0.0,2.5981,20.220,M2,,,,,Isaacson et al.
HIP12110,69.15,0.0,2.6002,-23.521,K3V,,,,,Isaacson et al.
HIP12114,23.48,0.0,2.6014,6.887,K3V,,,,,Isaacson et al.
HIP12158,79.26,0.0,2.6116,-3.156,K0,,,,,Isaacson et al.
HIP12225,144.81,0.0,2.6234,-52.543,A6V,,,,,Isaacson et al.
HIP12351,53.82,0.0,2.6503,-58.187,M0Ve,,,,,Isaacson et al.
HIP12390,88.06,0.0,2.6594,-11.872,F5V,,,,,Isaacson et al.
HIP12394,153.29,0.0,2.6598,-68.267,B9III,,,,,Isaacson et al.
HIP12413,129.48,0.0,2.6633,-42.892,A2V,,,,,Isaacson et al.
HIP12444,70.12,0.0,2.6701,-9.453,F6V,,,,,Isaacson et al.
HIP12447,129.16,0.0,2.6710,6.112,F3V:,,,,,Isaacson et al.
HIP12493,72.73,0.0,2.6786,1.199,M0,,,,,Isaacson et al.
HIP12530,70.45,0.0,2.6872,0.000,F7IV,,,,,Isaacson et al.
HIP12653,56.10,0.0,2.7093,-50.800,G3IV,,,,,Isaacson et al.
HIP12706,81.87,0.0,2.7217,3.236,A3V,,,,,Isaacson et al.
HIP12709,60.34,0.0,2.7225,19.429,K5,,,,,Isaacson et al.
HIP12723,89.37,0.0,2.7262,-46.455,K5V,,,,,Isaacson et al.
HIP12777,36.53,0.0,2.7367,49.228,F7V,,,,,Isaacson et al.
HIP12781,24.62,0.0,2.7376,25.523,M3.5Ve,,,,,Isaacson et al.
HIP12828,84.15,0.0,2.7490,10.114,F1III-I,,,,,Isaacson et al.
HIP12832,124.59,0.0,2.7493,12.446,A7III-I,,,,,Isaacson et al.
HIP12843,45.34,0.0,2.7517,-18.572,F5/F6V,,,,,Isaacson et al.
HIP12929,51.86,0.0,2.7715,11.775,K5,,,,,Isaacson et al.
HIP12961,77.63,0.0,2.7786,-23.086,M0,,,,,Isaacson et al.
HIP13008,124.27,0.0,2.7864,-22.486,F2V,,,,,Isaacson et al.
HIP13081,72.73,0.0,2.8025,27.069,K1V,,,,,Isaacson et al.
HIP13218,42.40,0.0,2.8360,-53.139,M,,,,,Isaacson et al.
HIP13258,73.06,0.0,2.8436,15.710,K5,,,,,Isaacson et al.
HIP13375,46.31,0.0,2.8686,34.389,K6:,,,,,Isaacson et al.
HIP13389,37.51,0.0,2.8728,-63.680,M,,,,,Isaacson et al.
HIP13402,33.59,0.0,2.8756,-12.769,K1V,,,,,Isaacson et al.
SO0253,12.56,0.0,2.8836,16.881,M6.5V,,,,,Isaacson et al.
HIP13601,85.13,0.0,2.9215,16.309,G5,,,,,Isaacson et al.
HIP13642,74.36,0.0,2.9275,26.873,K2,,,,,Isaacson et al.
HIP13665,86.11,0.0,2.9325,61.521,F4V,,,,,Isaacson et al.
HIP13769,83.82,0.0,2.9537,-24.975,K2V,,,,,Isaacson et al.
HIP13772,73.06,0.0,2.9541,-24.969,K1/K2V,,,,,Isaacson et al.
HIP13782,158.51,0.0,2.9566,-23.862,A5IV/V,,,,,Isaacson et al.
HIP13834,103.72,0.0,2.9681,20.669,F5IV,,,,,Isaacson et al.
HIP13976,76.32,0.0,3.0008,7.750,G5,,,,,Isaacson et al.
HIP14146,86.11,0.0,3.0399,-23.624,A4V,,,,,Isaacson et al.
HIP14150,68.82,0.0,3.0406,26.609,G8V,,,,,Isaacson et al.
HIP14286,74.36,0.0,3.0693,61.706,G4V,,,,,Isaacson et al.
HIP14293,140.25,0.0,3.0713,-7.601,A8V,,,,,Isaacson et al.
HIP14445,47.94,0.0,3.1074,1.965,M0V,,,,,Isaacson et al.
HIP14576,92.63,0.0,3.1361,40.956,B8V,,,,,Isaacson et al.
HIP14587,69.80,0.0,3.1396,-60.172,K5V,,,,,Isaacson et al.
HIP14632,34.25,0.0,3.1511,49.613,G0V,,,,,Isaacson et al.
HIP14633,69.47,0.0,3.1513,76.041,M0,,,,,Isaacson et al.
HIP14668,112.20,0.0,3.1583,44.858,K0III,,,,,Isaacson et al.
HIP14669,50.23,0.0,3.1586,45.733,M2,,,,,Isaacson et al.
HIP14729,88.06,0.0,3.1709,12.050,K5,,,,,Isaacson et al.
HIP14862,161.77,0.0,3.1990,74.394,A2Vnn,,,,,Isaacson et al.
HIP14954,72.73,0.0,3.2129,-1.196,F8V,,,,,Isaacson et al.
HIP15095,59.69,0.0,3.2457,-26.446,K5V,,,,,Isaacson et al.
HIP15099,72.41,0.0,3.2464,8.981,K0,,,,,Isaacson et al.
HIP15131,79.26,0.0,3.2518,-45.665,G3V,,,,,Isaacson et al.
HIP15197,119.70,0.0,3.2639,-8.820,A5m,,,,,Isaacson et al.
HIP15201,95.56,0.0,3.2660,-77.388,F4III,,,,,Isaacson et al.
HIP15220,43.70,0.0,3.2705,58.167,M2,,,,,Isaacson et al.
HIP15330,39.46,0.0,3.2962,-62.575,G2V,,,,,Isaacson et al.
HIP15371,39.14,0.0,3.3036,-62.506,G1V,,,,,Isaacson et al.
HIP15411,119.05,0.0,3.3114,-18.560,F3V,,,,,Isaacson et al.
HIP15457,29.84,0.0,3.3227,3.370,G5Vvar,,,,,Isaacson et al.
HIP15510,19.73,0.0,3.3321,-43.070,G8V,,,,,Isaacson et al.
HIP15638,44.68,0.0,3.3561,79.967,M2:,,,,,Isaacson et al.
HIP15648,155.25,0.0,3.3574,43.329,A3V,,,,,Isaacson et al.
HIP15673,74.04,0.0,3.3652,52.331,K5,,,,,Isaacson et al.
HIP15771,64.91,0.0,3.3878,-49.994,K0,,,,,Isaacson et al.
HIP15774,64.25,0.0,3.3881,-49.992,K3V,,,,,Isaacson et al.
HIP15797,83.17,0.0,3.3926,43.957,K2,,,,,Isaacson et al.
HIP15799,55.45,0.0,3.3931,-40.076,K0V,,,,,Isaacson et al.
HIP15919,49.25,0.0,3.4166,-5.364,K5V,,,,,Isaacson et al.
HIP16069,53.16,0.0,3.4498,-63.499,K5V,,,,,Isaacson et al.
HIP16134,41.10,0.0,3.4646,-19.804,K5V,,,,,Isaacson et al.
HIP16245,69.80,0.0,3.4896,-62.938,F5IV-V,,,,,Isaacson et al.
HIP16499,118.72,0.0,3.5406,46.057,F4IIIva,,,,,Isaacson et al.
GJ144,10.47,0.0,3.5488,-9.458,K2.0V,,,,,Isaacson et al.
HIP16536,35.22,0.0,3.5489,-44.702,---,,,,,Isaacson et al.
HIP16711,43.38,0.0,3.5836,-48.419,K7V,,,,,Isaacson et al.
GJ1061,11.97,0.0,3.5999,-44.513,M5.0V,,,,,Isaacson et al.
HIP16846,94.26,0.0,3.6131,0.000,G5IV/V,,,,,Isaacson et al.
HIP16852,44.68,0.0,3.6146,0.000,F9V,,,,,Isaacson et al.
HIP17027,114.48,0.0,3.6503,-5.626,K1V,,,,,Isaacson et al.
LP944-020,16.18,0.0,3.6598,-35.428,M9.0V,,,,,Isaacson et al.
HIP17147,79.26,0.0,3.6728,-3.217,F9V,,,,,Isaacson et al.
HIP17157,81.87,0.0,3.6748,-47.925,K7,,,,,Isaacson et al.
HIP17346,84.47,0.0,3.7124,-24.466,K5V,,,,,Isaacson et al.
HIP17378,29.48,0.0,3.7208,-9.763,K0IV,,,,,Isaacson et al.
HIP17395,139.92,0.0,3.7261,10.486,A5m,,,,,Isaacson et al.
HIP17405,52.84,0.0,3.7292,16.667,M1,,,,,Isaacson et al.
HIP17414,56.10,0.0,3.7313,16.672,M2,,,,,Isaacson et al.
HIP17420,45.66,0.0,3.7320,-19.111,K2V,,,,,Isaacson et al.
HIP17439,52.84,0.0,3.7359,-38.282,K1V,,,,,Isaacson et al.
HIP17440,99.48,0.0,3.7367,-64.807,K0IV:SB,,,,,Isaacson et al.
HIP17496,71.10,0.0,3.7475,11.920,K8V:,,,,,Isaacson et al.
HIP17544,70.78,0.0,3.7567,-27.862,K2V,,,,,Isaacson et al.
HIP17609,47.29,0.0,3.7723,26.215,K5,,,,,Isaacson et al.
HIP17651,58.38,0.0,3.7808,-23.250,F3/F5V,,,,,Isaacson et al.
HIP17666,79.58,0.0,3.7839,41.427,K1V,,,,,Isaacson et al.
HIP17749,56.42,0.0,3.8003,68.673,K0,,,,,Isaacson et al.
HIP17797,161.12,0.0,3.8100,-37.620,A+...,,,,,Isaacson et al.
HIP17978,87.08,0.0,3.8432,-42.565,K2V,,,,,Isaacson et al.
HIP18267,67.19,0.0,3.9078,16.616,G0,,,,,Isaacson et al.
HIP18280,50.23,0.0,3.9099,-6.826,M0V,,,,,Isaacson et al.
HIP18324,69.15,0.0,3.9177,61.167,K0V,,,,,Isaacson et al.
HIP18413,69.47,0.0,3.9365,59.642,G0,,,,,Isaacson et al.
HIP18450,57.40,0.0,3.9434,-41.343,K5V,,,,,Isaacson et al.
HIP18512,51.21,0.0,3.9580,-1.159,K4V,,,,,Isaacson et al.
HIP18774,51.86,0.0,4.0221,76.159,K4V,,,,,Isaacson et al.
HIP18859,62.62,0.0,4.0435,0.000,F5V,,,,,Isaacson et al.
HIP18907,129.16,0.0,4.0526,5.989,A1V,,,,,Isaacson et al.
HIP18975,117.09,0.0,4.0657,8.197,F2V,,,,,Isaacson et al.
HIP19076,54.47,0.0,4.0890,22.009,G5V,,,,,Isaacson et al.
HIP19165,76.65,0.0,4.1097,-20.853,K7,,,,,Isaacson et al.
HIP19205,89.69,0.0,4.1168,29.001,F1V,,,,,Isaacson et al.
HIP19233,75.34,0.0,4.1226,-64.222,G3V,,,,,Isaacson et al.
HIP19255,66.86,0.0,4.1262,38.074,G5,,,,,Isaacson et al.
HIP19333,83.50,0.0,4.1433,-59.527,K4V,,,,,Isaacson et al.
HIP19335,69.47,0.0,4.1435,38.040,F7V,,,,,Isaacson et al.
HIP19337,44.36,0.0,4.1437,33.637,M1,,,,,Isaacson et al.
HIP19422,60.01,0.0,4.1597,69.541,G5,,,,,Isaacson et al.
HIP19554,125.90,0.0,4.1890,5.523,F4V,,,,,Isaacson et al.
HIP19655,84.15,0.0,4.2117,70.201,M0V:,,,,,Isaacson et al.
HIP19719,120.35,0.0,4.2259,7.716,F3V...,,,,,Isaacson et al.
HIP19747,117.09,0.0,4.2334,-42.294,K1III,,,,,Isaacson et al.
HIP19832,66.54,0.0,4.2526,-4.418,K5V,,,,,Isaacson et al.
GJ166,16.24,0.0,4.2545,-7.653,K0.5V,,,,,Isaacson et al.
HIP19849,16.44,0.0,4.2545,-7.653,K1V,,,,,Isaacson et al.
GJ166BC,16.24,0.0,4.2560,-7.654,M5V,,,,,Isaacson et al.
HIP19855,67.84,0.0,4.2572,6.199,G5IV,,,,,Isaacson et al.
HIP19859,68.82,0.0,4.2580,6.187,G0IV...,,,,,Isaacson et al.
HIP19884,42.40,0.0,4.2658,-53.310,K5V,,,,,Isaacson et al.
HIP19893,66.21,0.0,4.2671,-51.486,F4III,,,,,Isaacson et al.
HIP19921,59.36,0.0,4.2747,-59.302,K2IV,,,,,Isaacson et al.
HIP19930,83.17,0.0,4.2758,36.502,K2,,,,,Isaacson et al.
HIP19990,93.28,0.0,4.2877,20.578,A3m,,,,,Isaacson et al.
HIP20219,146.12,0.0,4.3327,14.035,F3V...,,,,,Isaacson et al.
HIP20261,153.62,0.0,4.3434,15.095,F0V,,,,,Isaacson et al.
HIP20542,145.79,0.0,4.4016,17.444,A7V,,,,,Isaacson et al.
HIP20635,153.29,0.0,4.4228,22.294,A7IV-V,,,,,Isaacson et al.
HIP20641,143.83,0.0,4.4236,22.200,A7V,,,,,Isaacson et al.
HIP20648,147.75,0.0,4.4248,17.928,A2IV,,,,,Isaacson et al.
HIP20713,156.23,0.0,4.4391,15.618,F0V...,,,,,Isaacson et al.
HIP20842,156.23,0.0,4.4669,21.620,Am,,,,,Isaacson et al.
HIP20901,160.14,0.0,4.4806,13.047,A7V,,,,,Isaacson et al.
HIP20917,37.18,0.0,4.4834,21.922,K7V,,,,,Isaacson et al.
HIP21029,144.49,0.0,4.5093,16.194,A6IV,,,,,Isaacson et al.
HIP21036,149.05,0.0,4.5104,13.724,F0V,,,,,Isaacson et al.
HIP21039,144.49,0.0,4.5108,15.692,Am,,,,,Isaacson et al.
HIP21223,81.54,0.0,4.5526,-36.946,K4V,,,,,Isaacson et al.
HIP21248,124.27,0.0,4.5585,-29.766,K0III,,,,,Isaacson et al.
HIP21272,87.08,0.0,4.5640,5.385,K0,,,,,Isaacson et al.
HIP21273,152.31,0.0,4.5641,14.844,A8V,,,,,Isaacson et al.
HIP21284,73.06,0.0,4.5670,-43.524,K5V,,,,,Isaacson et al.
HIP21402,150.36,0.0,4.5942,10.161,A5m,,,,,Isaacson et al.
HIP21421,64.91,0.0,4.5987,16.509,K5III,,,,,Isaacson et al.
HIP21482,58.06,0.0,4.6134,27.132,K2,,,,,Isaacson et al.
HIP21547,96.87,0.0,4.6267,-2.473,F0V,,,,,Isaacson et al.
HIP21553,32.94,0.0,4.6280,52.894,K8V,,,,,Isaacson et al.
HIP21556,35.88,0.0,4.6283,-11.039,M1,,,,,Isaacson et al.
