Name      RA rm rs    Dec dm ds yr    mag  sp      pc     pmRA  pmDec
HIP4022   00 51 34.0  -22 54 36 2000  8.95 K5V     15.1   0.61 -0.28
HIP4148   00 53 01.1  -30 21 24 2000  7.15 K2V     14.0   0.62  0.03
HIP4151   00 53 04.2   61 07 26 2000  4.80 F8V     18.5  -0.07  0.17
HIP4288   00 54 58.1   23 37 42 2000  5.46 K1IV    38.9   0.14 -0.05
HIP4436   00 56 45.2   38 29 57 2000  3.86 A5V     41.7   0.15  0.04
HIP4454   00 57 04.4   69 02 36 2000  9.12 K4V     24.1   0.72 -0.23
HIP4473   00 57 19.7  -62 14 44 2000  9.50 K7V     19.3   1.03  0.13
HIP4569   00 58 27.9  -27 51 25 2000 11.7  ---     13.1   1.29 -0.30
HIP4845   01 02 21.1   10 25 25 2000 10.0  K7V     21.6   0.02 -0.18
HIP4849   01 02 24.6   05 03 41 2000  8.16 K2      21.4   0.34  0.22
HIP4856   01 02 32.2   71 40 47 2000  9.98 M3.5e    8.14  1.75 -0.38
HIP4872   01 02 38.9   62 20 42 2000  9.56 K5V...  10.0   0.73  0.09
HIP4907   01 02 57.2   69 13 37 2000  7.67 G5      25.8   0.22 -0.15
HIP5027   01 04 24.1  -25 36 17 2000  9.78 K4/K5V  25.6  -0.03 -0.32
HIP5110   01 05 29.9   15 23 24 2000  8.66 K2V     26.5   0.01 -0.20
HIP5247   01 07 08.2   63 56 28 2000  9.00 K7V     15.0   1.55  0.32
HIP5286   01 07 37.9   22 57 17 2000  8.41 K4V     20.7   0.10 -0.49
HIP5310   01 07 57.2   20 44 20 2000  5.56 A3V     49.4   0.09 -0.09
HIP5336   01 08 16.4   54 55 13 2000  5.17 G5Vp     7.55  3.42 -1.60
HIP5346   01 08 22.2   05 38 59 2000  5.51 F0III-I 35.9  -0.25 -0.17
HIP5364   01 08 35.4   10 10 56 2000  3.46 K2III   36.0   0.22 -0.14
HIP5369   01 08 40.4   17 14 33 2000 10.5  K6      27.7  -0.06 -0.58
HIP5496   01 10 22.9  -67 26 41 2000  9.80 K        8.13  0.39  0.57
HIP5521   01 10 41.9   42 55 54 2000  7.66 K0      26.7  -0.15 -0.20
HIP5542   01 11 06.2   55 08 59 2000  4.34 A7Vvar  42.1   0.23 -0.02
GJ54.1    01 12 30.6  -16 59 56 2000 12.1  M4.0V    3.71  1.21  0.65
HIP5663   01 12 46.1  -25 14 08 2000  9.55 K4V     22.0   0.13  0.02
HIP5799   01 14 24.0  -07 55 22 2000  5.14 F5V     24.3   0.12  0.28
HIP5842   01 15 01.0  -68 49 08 2000  7.22 K2V     21.1   0.42  0.08
HIP5862   01 15 11.1  -45 31 53 2000  4.97 F8V     15.0   0.66  0.18
HIP5896   01 15 46.2  -68 52 33 2000  4.25 F6IV    20.4   0.41  0.13
HIP5938   01 16 24.2  -12 05 49 2000  7.55 K0V     26.5   0.13  0.00
HIP5944   01 16 29.3   42 56 21 2000  6.59 G0      23.6  -0.11 -0.03
HIP5957   01 16 39.4   25 19 53 2000 10.1  K5      22.7   0.43 -0.10
HIP6069   01 17 53.3   05 28 26 2000 11.0  M2V:    15.3   0.09 -0.63
HIP6290   01 20 40.7   57 19 40 2000 10.3  K6V:    18.9  -0.29  0.44
HIP6344   01 21 30.9   80 09 06 2000  9.67 K8      24.1   0.28 -0.08
HIP6351   01 21 34.6  -41 39 23 2000 10.1  K5      16.8   1.24 -0.46
HIP6379   01 21 59.1   76 42 36 2000  7.17 K0      16.8  -0.03 -0.03
HIP6414   01 22 23.1  -33 12 51 2000 10.3  ---     26.9   0.36 -0.30
HIP6537   01 24 01.4  -08 10 59 2000  3.60 K0III   35.1  -0.08 -0.21
HIP6706   01 26 15.3   19 10 20 2000  5.35 F2V:var 26.0  -0.03  0.01
HIP6748   01 26 51.6  -13 03 23 2000  5.51 F0V     36.2   0.01  0.01
HIP6813   01 27 39.4   45 24 24 2000  4.83 F5IV    28.3   0.36 -0.11
HIP6917   01 29 04.9   21 43 23 2000  7.74 K2V     23.1   0.46 -0.19
HIP7078   01 31 13.8   70 15 52 2000  5.82 F6V     29.2   0.14 -0.08
HIP7235   01 33 15.8  -24 10 40 2000  6.97 K0V     19.5   0.27 -0.16
HIP7339   01 34 33.3   68 56 53 2000  6.52 G6V     20.9  -0.38  0.12
HIP7387   01 35 15.0  -58 08 22 2000  6.03 F2V     40.4   0.28 -0.03
HIP7513   01 36 47.8   41 24 19 2000  4.10 F8V     13.4  -0.17 -0.38
HIP7535   01 37 05.9   12 08 29 2000  5.54 F0V     33.8  -0.07  0.01
HIP7576   01 37 35.5  -06 45 37 2000  7.66 G5      23.6   0.17 -0.10
GJ65A     01 39 01.3  -17 57 01 2000 12.6  M5.5V    2.67  3.32  0.56
HIP7734   01 39 36.0   45 52 39 2000  6.60 G5IV    21.3   0.22 -0.23
HIP7748   01 39 45.7   73 42 32 2000  9.81 ---     27.2   0.16 -0.11
HIP7751   01 39 47.5  -56 11 47 2000  5.76 K0V      8.14  0.29  0.02
HIP7918   01 41 47.1   42 36 48 2000  4.96 G2V     12.6   0.79 -0.18
HIP7978   01 42 29.3  -53 44 27 2000  5.52 F8V     17.3   0.17 -0.11
HIP7981   01 42 29.8   20 16 06 2000  5.24 K1V      7.46 -0.30 -0.68
HIP8051   01 43 20.2   04 19 18 2000 10.9  M2V:    11.2  -0.42 -0.76
HIP8070   01 43 40.7   63 49 24 2000  8.42 K5V     13.4  -0.39 -0.58
GJ71      01 44 04.1  -15 56 15 2000  3.49 G8.5V    3.65 -1.72  0.85
HIP8209   01 45 38.8  -25 03 09 2000  5.29 F2IV    27.4   0.16 -0.07
HIP8275   01 46 38.7   12 24 42 2000  8.91 K5      23.0   0.03 -0.08
HIP8362   01 47 44.8   63 51 09 2000  5.63 K0V      9.97  0.58 -0.25
HIP8486   01 49 23.4   10 42 12 2000  6.72 G0      23.0  -0.12 -0.10
HIP8497   01 49 35.1   10 41 11 2000  4.66 F3III   23.6  -0.15 -0.09
HIP8543   01 50 07.9   29 27 52 2000  8.06 K1V     26.7  -0.04 -0.06
HIP8768   01 52 49.2  -22 26 05 2000  8.89 K5/M0V  11.0   0.84  0.00
HIP8867   01 54 06.1   66 10 34 2000  8.47 G5      22.1  -0.04 -0.14
HIP8903   01 54 38.4   20 48 28 2000  2.64 A5V...  18.2   0.10 -0.11
HIP9007   01 55 57.5  -51 36 32 2000  3.69 G5IV    17.4   0.68  0.28
HIP9044   01 56 32.5  -60 13 35 2000  8.61 K5V     19.7   0.45  0.19
HIP9085   01 56 60.0  -51 45 58 2000  6.10 F8V     26.3   0.35  0.25
HIP9094   01 57 09.6   10 14 32 2000  6.42 G5      33.9  -0.37 -0.24
HIP9153   01 57 55.7   23 35 45 2000  4.79 F0V     40.8  -0.09 -0.01
HIP9236   01 58 46.2  -61 34 11 2000  2.86 F0V     21.8   0.26  0.03
HIP9269   01 59 06.6   33 12 34 2000  7.14 G5      24.5   0.24 -0.35
GJ83.1    02 00 13.2   13 03 08 2000 12.3  M4.0V    4.44  1.12 -1.77
HIP9480   02 01 57.5   70 54 25 2000  4.49 A3IV    35.8  -0.05 -0.01
HIP9487   02 02 02.8   02 45 49 2000  3.82 A2      42.6   0.03  0.00
HIP9598   02 03 26.1   72 25 16 2000  3.95 A2V     49.7  -0.04  0.02
HIP9716   02 04 59.3  -15 40 41 2000  7.79 K0V     25.5   0.02 -0.05
HIP9724   02 05 04.8  -17 36 52 2000 10.1  M3       9.43  1.32 -0.17
HIP9727   02 05 07.4   77 16 52 2000  5.27 F0Vn    33.5   0.14 -0.05
HIP9829   02 06 30.2   24 20 02 2000  6.89 G2V     23.1   0.01 -0.15
HIP9884   02 07 10.4   23 27 44 2000  2.01 K2III   20.2   0.19 -0.15
HIP10138  02 10 25.9  -50 49 25 2000  6.12 K0V     10.9   2.09  0.65
HIP10279  02 12 21.0   03 34 32 2000 10.0  M3V:    10.3  -1.76 -1.85
HIP10306  02 12 48.1   21 12 39 2000  5.23 F5V     30.1   0.16  0.00
HIP10337  02 13 12.2  -21 11 47 2000  9.84 K7V     23.2   0.38  0.05
HIP10395  02 13 53.6  -32 02 28 2000 10.3  ---     12.3   0.76 -0.53
HIP10416  02 14 13.6  -03 38 06 2000  8.55 K2      22.8  -0.01 -0.22
HIP10542  02 15 46.1  -18 14 17 2000  7.94 K3V     22.2  -0.04 -0.12
HIP10617  02 16 41.2  -30 59 18 2000 12.0  ---     14.2   0.68  0.25
HIP10644  02 17 03.2   34 13 27 2000  4.84 G0V     10.8   1.15 -0.25
HIP10670  02 17 18.9   33 50 49 2000  4.03 A1Vnn   36.0   0.04 -0.05
HIP10723  02 18 01.4   01 45 28 2000  5.60 G0.5IV  24.9   0.37  0.37
HIP10798  02 18 58.5  -25 56 44 2000  6.33 G8V     12.6  -0.22  0.44
HIP10812  02 19 10.1  -36 46 41 2000 11.5  ---     13.9   1.39  0.55
HIP10925  02 20 42.9  -39 02 01 2000  8.67 K3/K4V  25.4   0.21 -0.03
HIP11000  02 21 44.4  -06 52 46 2000  9.07 K0      26.7   0.30  0.05
HIP11001  02 21 44.9  -68 39 33 2000  4.08 A3V     41.4  -0.05  0.00
HIP11029  02 22 01.5   10 46 39 2000  5.43 F0V     29.8   0.15 -0.08
HIP11048  02 22 14.6   47 52 48 2000  9.40 M2      11.9   0.22  0.04
HIP11090  02 22 50.3   41 23 46 2000  5.81 F0III-I 47.2  -0.07 -0.10
HIP11452  02 27 45.9   04 25 55 2000  8.69 K7V:    16.6   0.09  0.24
HIP11477  02 28 01.7  -33 48 39 2000  5.13 A2/A3V  46.8   0.02  0.01
HIP11565  02 29 01.7  -19 58 44 2000  8.78 K4V     18.9   0.61  0.19
HIP11569  02 29 03.9   67 24 08 2000  4.46 A5pSr   43.4  -0.03  0.04
HIP11759  02 31 42.5  -15 16 24 2000  8.67 K2V     26.1  -0.08 -0.12
HIP11783  02 32 05.2  -15 14 40 2000  4.74 F5V     25.8  -0.08 -0.15
HIP11852  02 32 58.9  -72 41 14 2000  8.84 K4V     22.5   0.14  0.20
HIP11964  02 34 22.6  -43 47 46 2000  8.89 K7Vcom  11.5   0.06 -0.29
HIP12097  02 35 53.3   20 13 11 2000 10.6  M2      13.9   0.25 -0.14
HIP12110  02 36 00.8  -23 31 16 2000  8.34 K3V     21.2   0.08  0.01
HIP12114  02 36 04.9   06 53 12 2000  5.79 K3V      7.20  1.81  1.44
HIP12158  02 36 41.8  -03 09 22 2000  8.10 K0      24.3   0.32  0.06
HIP12225  02 37 24.4  -52 32 35 2000  5.30 A6V     44.4   0.11  0.00
HIP12351  02 39 01.2  -58 11 13 2000  9.48 M0Ve    16.5  -0.02  0.03
HIP12390  02 39 33.8  -11 52 19 2000  4.83 F5V     27.0   0.17 -0.24
HIP12394  02 39 35.4  -68 16 00 2000  4.12 B9III   47.0   0.09  0.00
HIP12413  02 39 48.0  -42 53 30 2000  4.74 A2V     39.7   0.09 -0.02
HIP12444  02 40 12.4  -09 27 10 2000  5.79 F6V     21.5  -0.14 -0.08
HIP12447  02 40 15.7   06 06 42 2000  6.26 F3V:    39.6   0.05  0.00
HIP12493  02 40 42.9   01 11 55 2000  9.51 M0      22.3   0.28  0.23
HIP12530  02 41 14.0  -00 41 44 2000  5.72 F7IV    21.6   0.22 -0.13
HIP12653  02 42 33.5  -50 48 01 2000  5.40 G3IV    17.2   0.33  0.22
HIP12706  02 43 18.0   03 14 08 2000  3.47 A3V     25.1  -0.15 -0.15
HIP12709  02 43 20.9   19 25 45 2000  8.23 K5      18.5   0.43 -0.02
HIP12723  02 43 34.2  -46 27 17 2000  9.04 K5V     27.4   0.07 -0.53
HIP12777  02 44 12.0   49 13 42 2000  4.10 F7V     11.2   0.33 -0.09
HIP12781  02 44 15.5   25 31 24 2000 10.5  M3.5Ve   7.55  0.86 -0.37
HIP12828  02 44 56.5   10 06 50 2000  4.27 F1III-I 25.8   0.29 -0.03
HIP12832  02 44 57.6   12 26 44 2000  5.17 A7III-I 38.2   0.12 -0.08
HIP12843  02 45 06.2  -18 34 21 2000  4.47 F5/F6V  13.9   0.33  0.04
HIP12929  02 46 17.3   11 46 30 2000  8.59 K5      15.9   0.27 -0.21
HIP12961  02 46 42.9  -23 05 11 2000 10.2  M0      23.8   0.29  0.14
HIP13008  02 47 11.1  -22 29 08 2000  6.47 F2V     38.1  -0.02 -0.04
HIP13081  02 48 09.1   27 04 07 2000  7.56 K1V     22.3   0.26 -0.13
HIP13218  02 50 09.7  -53 08 20 2000 10.7  M       13.0  -0.12  0.50
HIP13258  02 50 36.9   15 42 35 2000  8.87 K5      22.4   0.34 -0.40
HIP13375  02 52 07.1   34 23 21 2000  9.60 K6:     14.2   0.99 -0.99
HIP13389  02 52 22.2  -63 40 47 2000 11.3  M       11.5   0.98  0.63
HIP13402  02 52 32.1  -12 46 10 2000  6.05 K1V     10.3   0.40 -0.19
SO0253    02 53 00.9   16 52 53 2000 15.1  M6.5V    3.85  3.40 -3.81
HIP13601  02 55 17.4   16 18 33 2000  7.41 G5      26.1   0.20 -0.05
HIP13642  02 55 39.1   26 52 23 2000  7.52 K2      22.8   0.26 -0.19
HIP13665  02 55 56.9   61 31 16 2000  5.59 F4V     26.4   0.15  0.03
HIP13769  02 57 13.2  -24 58 30 2000  7.84 K2V     25.7   0.02 -0.03
HIP13772  02 57 14.7  -24 58 10 2000  7.33 K1/K2V  22.4   0.03 -0.04
HIP13782  02 57 23.8  -23 51 43 2000  5.44 A5IV/V  48.6   0.10 -0.04
HIP13834  02 58 05.2   20 40 07 2000  5.80 F5IV    31.8   0.23 -0.03
HIP13976  03 00 02.8   07 44 59 2000  7.97 G5      23.4   0.33  0.02
HIP14146  03 02 23.5  -23 37 28 2000  4.08 A4V     26.4  -0.15 -0.06
HIP14150  03 02 26.0   26 36 33 2000  6.62 G8V     21.1   0.23 -0.17
HIP14286  03 04 09.6   61 42 21 2000  6.64 G4V     22.8   0.72 -0.69
HIP14293  03 04 16.5  -07 36 03 2000  5.26 A8V     43.0   0.07  0.02
HIP14445  03 06 26.7   01 57 54 2000  9.07 M0V     14.7   0.39 -0.93
HIP14576  03 08 10.1   40 57 20 2000  2.09 B8V     28.4   0.00  0.00
HIP14587  03 08 22.4  -60 10 21 2000  9.27 K5V     21.4   0.21  0.13
HIP14632  03 09 04.0   49 36 47 2000  4.05 G0V     10.5   1.26 -0.09
HIP14633  03 09 04.5   76 02 28 2000  9.82 M0      21.3   0.19 -0.49
HIP14668  03 09 29.8   44 51 27 2000  3.79 K0III   34.4   0.17 -0.14
HIP14669  03 09 30.8   45 43 57 2000 10.1  M2      15.4  -0.43 -0.38
HIP14729  03 10 15.2   12 03 01 2000  9.38 K5      27.0   0.25 -0.15
HIP14862  03 11 56.3   74 23 37 2000  4.85 A2Vnn   49.6   0.01 -0.09
HIP14954  03 12 46.4  -01 11 46 2000  5.07 F8V     22.3   0.19 -0.07
HIP15095  03 14 44.6  -26 26 46 2000  9.17 K5V     18.3   0.22  0.10
HIP15099  03 14 47.2   08 58 50 2000  7.83 K0      22.2   0.40 -0.40
HIP15131  03 15 06.4  -45 39 53 2000  6.75 G3V     24.3  -0.13  0.14
HIP15197  03 15 50.0  -08 49 11 2000  4.80 A5m     36.7   0.00  0.05
HIP15201  03 15 57.7  -77 23 18 2000  5.51 F4III   29.3   0.11  0.06
HIP15220  03 16 13.8   58 10 02 2000 10.5  M2      13.4   0.43 -0.32
HIP15330  03 17 46.2  -62 34 31 2000  5.53 G2V     12.1   1.34  0.65
HIP15371  03 18 12.8  -62 30 22 2000  5.24 G1V     12.0   1.33  0.65
HIP15411  03 18 41.1  -18 33 35 2000  5.72 F3V     36.5   0.12 -0.06
HIP15457  03 19 21.7   03 22 12 2000  4.84 G5Vvar   9.15  0.27  0.09
HIP15510  03 19 55.6  -43 04 11 2000  4.26 G8V      6.05  3.04  0.73
HIP15638  03 21 21.8   79 58 02 2000 11.2  M2:     13.7   0.41  0.28
HIP15648  03 21 26.6   43 19 46 2000  4.96 A3V     47.6  -0.06  0.00
HIP15673  03 21 54.8   52 19 53 2000  9.05 K5      22.7  -0.31 -0.27
HIP15771  03 23 15.9  -49 59 38 2000 10.2  K0      19.9   0.23  0.26
HIP15774  03 23 17.2  -49 59 30 2000  8.58 K3V     19.7   0.25  0.27
HIP15797  03 23 33.5   43 57 26 2000  8.98 K2      25.5   0.12 -0.33
HIP15799  03 23 35.3  -40 04 35 2000  6.90 K0V     17.0   0.04  0.04
HIP15919  03 24 59.7  -05 21 49 2000  7.86 K5V     15.1  -0.23 -0.77
HIP16069  03 26 59.2  -63 29 56 2000  8.08 K5V     16.3   0.36 -0.25
HIP16134  03 27 52.4  -19 48 16 2000  8.39 K5V     12.6   0.54  0.30
HIP16245  03 29 22.7  -62 56 15 2000  4.71 F5IV-V  21.4   0.38  0.37
HIP16499  03 32 26.3   46 03 24 2000  5.30 F4IIIva 36.4  -0.05 -0.07
GJ144     03 32 55.8  -09 27 29 2000  3.73 K2.0V    3.21 -0.98  0.02
HIP16536  03 32 55.9  -44 42 07 2000 11.4  ---     10.8  -0.31  0.13
HIP16711  03 35 00.9  -48 25 08 2000  8.57 K7V     13.3   0.40  0.31
GJ1061    03 35 59.7  -44 30 45 2000 13.0  M5.0V    3.67  0.73 -0.38
HIP16846  03 36 47.3   00 35 15 2000  5.82 G5IV/V  28.9  -0.03 -0.16
HIP16852  03 36 52.4   00 24 05 2000  4.29 F9V     13.7  -0.23 -0.48
HIP17027  03 39 01.1  -05 37 34 2000  5.97 K1V     35.1  -0.01 -0.21
LP944-020 03 39 35.2  -35 25 41 2000 18.6  M9.0V    4.96  0.32  0.30
HIP17147  03 40 22.1  -03 13 01 2000  6.68 F9V     24.3   0.69 -0.21
HIP17157  03 40 29.4  -47 55 30 2000  9.59 K7      25.1   0.10  0.10
HIP17346  03 42 44.7  -24 27 58 2000  9.20 K5V     25.9   0.02 -0.37
HIP17378  03 43 14.9  -09 45 48 2000  3.52 K0IV     9.04 -0.09  0.74
HIP17395  03 43 33.8   10 29 08 2000  5.59 A5m     42.9  -0.01 -0.02
HIP17405  03 43 45.2   16 40 02 2000 10.8  M1      16.2   0.16 -0.31
HIP17414  03 43 52.6   16 40 19 2000  9.99 M2      17.2   0.16 -0.32
HIP17420  03 43 55.3  -19 06 39 2000  7.10 K2V     14.0   0.31  0.16
HIP17439  03 44 09.2  -38 16 54 2000  6.99 K1V     16.2   0.21  0.29
HIP17440  03 44 12.0  -64 48 24 2000  3.84 K0IV:SB 30.5   0.31  0.08
HIP17496  03 44 51.1   11 55 12 2000  9.13 K8V:    21.8   0.32  0.13
HIP17544  03 45 24.1  -27 51 44 2000  8.21 K2V     21.7   0.32  0.14
HIP17609  03 46 20.1   26 12 55 2000  9.61 K5      14.5   0.39 -0.20
HIP17651  03 46 50.9  -23 14 59 2000  4.22 F3/F5V  17.9  -0.16 -0.53
HIP17666  03 47 02.1   41 25 38 2000  7.67 K1V     24.4   0.60 -1.24
HIP17749  03 48 01.0   68 40 22 2000  9.17 K0      17.3   0.13  0.24
HIP17797  03 48 35.9  -37 37 12 2000  4.30 A+...   49.4   0.08 -0.01
HIP17978  03 50 35.5  -42 33 55 2000  8.61 K2V     26.7   0.20  0.62
HIP18267  03 54 28.0   16 36 57 2000  6.81 G0      20.6   0.22 -0.17
HIP18280  03 54 35.5  -06 49 33 2000  9.02 M0V     15.4   0.00  0.53
HIP18324  03 55 03.8   61 10 00 2000  7.84 K0V     21.2   0.44 -0.25
HIP18413  03 56 11.5   59 38 30 2000  6.53 G0      21.3  -0.28  0.16
HIP18450  03 56 36.4  -41 20 36 2000  8.85 K5V     17.6   0.06  0.09
HIP18512  03 57 28.7  -01 09 34 2000  8.07 K4V     15.7  -0.18 -0.14
HIP18774  04 01 19.6   76 09 33 2000  8.20 K4V     15.9   0.33 -0.55
HIP18859  04 02 36.7  -00 16 08 2000  5.38 F5V     19.2   0.15 -0.25
HIP18907  04 03 09.4   05 59 21 2000  3.91 A1V     39.6   0.01  0.00
HIP18975  04 03 56.6   08 11 50 2000  5.45 F2V     35.9   0.17  0.03
HIP19076  04 05 20.3   22 00 32 2000  5.90 G5V     16.7   0.17 -0.13
HIP19165  04 06 34.8  -20 51 11 2000  9.70 K7      23.5   0.05 -0.78
HIP19205  04 07 00.5   29 00 04 2000  5.21 F1V     27.5  -0.09  0.00
HIP19233  04 07 21.5  -64 13 20 2000  6.37 G3V     23.1   0.19  0.34
HIP19255  04 07 34.3   38 04 28 2000  7.13 G5      20.5   0.17 -0.23
HIP19333  04 08 35.7  -59 31 36 2000  9.71 K4V     25.6  -0.08 -0.12
HIP19335  04 08 36.6   38 02 23 2000  5.52 F7V     21.3   0.16 -0.20
HIP19337  04 08 37.4   33 38 13 2000 10.1  M1      13.6   0.52  0.13
HIP19422  04 09 35.0   69 32 28 2000  7.70 G5      18.4   0.07 -0.30
HIP19554  04 11 20.3   05 31 22 2000  5.71 F4V     38.6   0.15  0.00
HIP19655  04 12 42.2   70 12 05 2000  9.73 M0V:    25.8  -0.10  0.03
HIP19719  04 13 33.1   07 42 57 2000  5.29 F3V...  36.9   0.00  0.00
HIP19747  04 14 00.1  -42 17 39 2000  3.85 K1III   35.9   0.04 -0.20
HIP19832  04 15 09.5  -04 25 05 2000  9.38 K5V     20.4   0.10 -0.09
GJ166     04 15 16.3  -07 39 09 2000  4.43 K0.5V    4.98 -2.24 -3.42
HIP19849  04 15 16.3  -07 39 10 2000  4.43 K1V      5.04 -2.24 -3.42
GJ166BC   04 15 21.7  -07 39 16 2000  9.52 M5V      4.98 -2.18 -3.44
HIP19855  04 15 25.8   06 11 58 2000  6.94 G5IV    20.8  -0.10 -0.11
HIP19859  04 15 28.8   06 11 12 2000  6.32 G0IV... 21.1  -0.11 -0.11
